frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
34,32.32189219452974,119.87031950230023,16.02986691386653,3136.086080797919,-3409.7893981933594,-27026.79412841797,-41.258691,-2539.0939308191882,1840.6623581340536
35,32.322436555964146,119.8694816363241,20.296723738957606,3230.9508724744715,-3702.919952392578,-27846.572021484375,-39.539817,-2617.213376507163,1894.5283534894697
36,32.32286795078049,119.86881763264887,4.65482492707527,3326.4223115272007,-3703.1084747314453,-28536.84796142578,-40.45655,-2693.2775580910966,1952.2657067389227
37,32.323476921861605,119.86788028403943,19.433331124409836,3421.7536124932562,-3929.1346282958984,-29471.77032470703,-37.981372,-2772.4518597325077,2005.4696382833645
38,32.32398847749978,119.8670928631318,18.38993889345827,3516.3709649911657,-3930.65478515625,-30290.099975585938,-40.04402,-2847.440718423575,2063.236806209199
39,32.32443505831353,119.86640544286365,5.581470528788142,3610.7608258317837,-3971.8466033935547,-30997.520629882812,-39.339282,-2924.490755678853,2117.7694778493606
40,32.324943423046335,119.86562290409022,3.4053146693282303,3705.9234805612496,-4042.1290435791016,-31798.725708007812,-39.746082,-3001.5739623527043,2173.5736914817244
41,32.3254691218409,119.86481366605115,4.102468909620552,3802.2530329472147,-4006.749931335449,-32646.164916992188,-39.963806,-3078.716734121437,2231.2846966707148
42,32.32598510486678,119.8640193677286,4.585968375252821,3896.562530562888,-4251.206016540527,-33429.099548339844,-40.565412,-3154.7246467235964,2287.1187021974474
43,32.32654250673903,119.86316129154511,9.641910984990549,3991.424066295265,-4342.893989562988,-34305.05401611328,-39.992454,-3232.837200478185,2340.989045725204
44,32.32705959756065,119.86236525417117,9.648947337564547,4086.1198218833183,-4445.385948181152,-35114.616760253906,-40.204448,-3308.8604226538446,2397.460719632916
45,32.327560223562266,119.86159454815342,5.282811457523689,4181.754023491501,-4603.986747741699,-35888.020263671875,-39.133017,-3387.0052362405695,2452.6031563761644
46,32.328077497998535,119.86079819613684,5.580358719508388,4276.440829150253,-4630.1011962890625,-36711.25537109375,-38.737677,-3463.0172771385405,2509.0750294607133
47,32.32866331649673,119.85989629984803,17.128114142604705,4371.22164950168,-4777.634765625,-37622.946350097656,-39.075722,-3540.086838440504,2564.2472356176004
48,32.32920944679016,119.85905548671927,20.737792621468497,4467.241285681851,-4858.340019226074,-38482.824645996094,-38.101693,-3618.2460164752556,2620.0268068783917
49,32.329716798268805,119.85827436057474,19.15926159476872,4561.547813039574,-5084.078453063965,-39255.27331542969,-39.740353,-3694.2479023259366,2675.8645120421425
50,32.33025469971657,119.85744618214831,22.361244371053036,4656.408213204754,-5040.026870727539,-40123.82733154297,-36.841186,-3772.354463053867,2729.7397775389254
