frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
390,32.30042695,119.8866631,0.0,0.0,0.0,0.0,-40.817513,0.0,0.0
391,32.30102420780896,119.88574004994746,15.046322702464117,94.3287865102762,-207.47122192382812,-919.0845336914062,-41.476415,-76.03982499463018,55.81993352994323
392,32.3015118111299,119.88498795445336,9.710836583048536,189.0477230707575,-303.4832229614258,-1682.3301391601562,-41.619654,-152.09590893704444,112.27589270565659
393,32.30190579422495,119.8843779845935,14.029767908833177,284.6927685879631,-491.7926254272461,-2279.575439453125,-41.522251,-230.2739955431316,167.40328390710056
394,32.30231034325683,119.8837516744916,34.64082093141012,379.40807668843763,-683.7861557006836,-2893.0823364257812,-40.290392,-306.32834570563864,223.86029856512323
395,32.30280707047975,119.88298248359204,39.20217202044823,474.9738154486879,-927.3286666870117,-3645.0142211914062,-41.476415,-383.45565219945274,280.2889369172044
396,32.30332270040227,119.8821888130041,38.99807292480665,568.9117356006818,-945.3014068603516,-4466.840637207031,-41.035237,-459.4740727508906,335.47598926583305
397,32.303847225212465,119.88137915519187,39.03920228476894,664.9473256085956,-1074.9303741455078,-5283.2822265625,-40.85762,-537.6658041838091,391.24216138524935
398,32.304481662291685,119.8803960713868,17.618876332652967,759.7364902472528,-1414.5445709228516,-6238.6851806640625,-41.155558,-614.7563151755603,446.4013973600231
399,32.30504704491904,119.87952177690505,9.038185221894606,854.533338863004,-1628.8962860107422,-7105.626281738281,-43.424471,-691.8553855877835,501.56091620214283
400,32.30564253596088,119.87860356783376,4.889476086286911,950.183289489862,-1724.4671478271484,-8041.626159667969,-41.413389,-770.0273849284276,556.6921142661013
401,32.30608140836156,119.87792568023535,10.765113197727675,1045.2719379135478,-1851.5933990478516,-8721.493713378906,-41.384742,-846.0833303930704,613.7885810444131
402,32.306579847677014,119.87715585057683,13.45793352924732,1139.2086463113749,-1992.0686492919922,-9494.33056640625,-42.198342,-922.0966423181817,668.9799115490168
403,32.30712032105784,119.87632275717122,11.215664555513358,1235.165295215158,-2062.6194381713867,-10346.720703125,-40.897727,-999.2434610596392,726.0480783209205
404,32.307687321009,119.87544765860335,3.7858187211408585,1330.4254069941296,-2190.2442016601562,-11231.532775878906,-41.304527,-1077.3949133064598,780.5459399400279
405,32.308174438316364,119.87469533395854,9.21931813330296,1425.5136518449374,-2324.3101959228516,-11987.401672363281,-39.304905,-1153.447375179967,837.6445094947703
406,32.308666739910194,119.87393126941443,13.134692771977564,1519.8354594961986,-2641.411422729492,-12719.404235839844,-40.250285,-1229.4742791091558,893.4723392198794
407,32.30909827305684,119.87326509450882,28.011119184432417,1614.628866377878,-2744.1455307006836,-13391.851379394531,-38.640274,-1306.566442045616,948.6361308009364
408,32.30967878650178,119.87236446233776,17.43336574029895,1710.741232752452,-3099.806755065918,-14258.240539550781,-39.63722,-1385.7882060129195,1003.1084754476324
409,32.31023015924711,119.87151439265787,12.252309746978826,1804.9823688745466,-3175.2736740112305,-15127.253173828125,-39.385119,-1460.772874817485,1060.2376904003322
410,32.310722106473236,119.87075620752805,16.44509993753981,1899.7675014883064,-3228.8414306640625,-15905.032165527344,-38.731947,-1537.8530299952254,1115.4033431210555
411,32.31129030033386,119.86987568383032,8.959206412747994,1994.9392596586597,-3525.596221923828,-16762.08642578125,-39.018426,-1614.9493541459087,1171.2050346848555
412,32.31183928204128,119.8690288360713,5.577558549524778,2090.583912216825,-3620.7870559692383,-17623.830810546875,-38.508493,-1693.1109143374488,1226.3427440039814
413,32.31232974104448,119.86827110580869,11.168986283757675,2185.5983067441293,-3761.6440505981445,-18383.909118652344,-40.72584,-1768.1261693371926,1284.7450360860676
414,32.31284012813307,119.86748042559229,10.702766673398353,2280.4671767983273,-4013.055534362793,-19156.453735351562,-39.356471,-1846.2519493161235,1338.6128208339214
415,32.313456995839644,119.86652797606222,13.089479281568694,2374.778278021994,-4160.191993713379,-20117.725952148438,-40.301851,-1922.2617172312457,1394.4467577617615
416,32.31402832778966,119.86564365263895,20.54452718429222,2470.807896478451,-4401.9873123168945,-20989.50372314453,-39.837755,-2000.4368058340624,1450.2221371792257
417,32.314494006381516,119.86492698202741,12.830517199008638,2565.511916375943,-4397.176339149475,-21735.556884765625,-39.557006,-2076.471239117789,1506.6912710252218
418,32.31508150911443,119.86401771522961,23.682125381420434,2660.688405835667,-4639.774010658264,-22633.087768554688,-40.639896,-2153.570900022518,1562.4964548838325
419,32.31560755667057,119.86320584890673,25.751034450532956,2754.997445918748,-4744.420914649963,-23456.525817871094,-40.307581,-2229.5771901845,1618.3313875803724
420,32.316072811697474,119.86248806155947,17.003189042629042,2849.3992585139767,-4823.79319858551,-24187.126342773438,-39.90651,-2306.641142683802,1672.8666334464215
421,32.316648240821934,119.8615973427993,25.02678591015693,2946.2006148966407,-5065.445786476135,-25065.527099609375,-39.803378,-2384.8458315536845,1729.9157271203585
422,32.31717866764114,119.86077893112105,28.17640490472088,3039.742778581455,-5158.070282936096,-25898.108947753906,-40.055479,-2460.825023095589,1784.482100118883
423,32.31770719174197,119.85996424823928,29.35248866719827,3135.2967240368725,-5210.8080224990845,-26734.66339111328,-38.857998,-2537.9279105070746,1840.9257097519003
424,32.31831628302748,119.85901842501488,45.05769923850036,3230.5498584389234,-5609.983864784241,-27639.27801513672,-37.60895,-2616.062060017837,1895.4344319957308
425,32.31873162386848,119.85837980758187,26.987938437218727,3325.6372147817233,-5571.90053653717,-28310.673461914062,-38.903834,-2692.106537213549,1952.5432841894217
