frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
450,32.33187667223297,119.83825237999191,42.93413080023806,5700.462700273371,-9855.91471171379,-48604.819396972656,-42.22126,-4613.6269990006695,3348.0921300495975
451,32.33236535193164,119.83749967878308,37.43178372668139,5795.239510509497,-9853.47689318657,-49387.498596191406,-39.264798,-4690.681168144336,3403.2794717722572
452,32.33292826064777,119.83663262645852,43.70733883530553,5891.641781949065,-9863.792790174484,-50286.77618408203,-39.91224,-4768.8416152663995,3459.7098917844705
453,32.3334480317223,119.8358320022364,44.18662809509271,5986.325145792628,-9967.2654235363,-51100.708251953125,-39.717434,-4844.835478774039,3516.1993593596853
454,32.33386956136548,119.83518269116031,27.092845961304867,6080.019474069887,-10303.424359083176,-51716.66882324219,-38.55433,-4922.876313798479,3568.18239501724
455,32.334398750154214,119.83436753000035,28.76538899006424,6175.481819749026,-10280.067799329758,-52567.88220214844,-38.760595,-4998.911511679296,3625.9425539369695
456,32.33497948635447,119.83347294572125,39.13657848414207,6271.0303356232,-10539.927876234055,-53452.065673828125,-36.846916,-5075.995016216766,3682.4035718059167
457,32.335503406238786,119.83266586547234,40.24691878069027,6365.410733064734,-10955.587025403976,-54218.043518066406,-40.662815,-5153.0177631005645,3736.9588884259574
458,32.33602743740427,119.83185859709064,40.951194918627145,6460.87238401084,-10826.432545423508,-55079.53594970703,-41.505063,-5229.050329080666,3794.720624553971
459,32.33658235837848,119.83100372483722,47.59885225300227,6555.25251786185,-11006.549290418625,-55936.37158203125,-40.095587,-5306.07138635125,3849.278116202913
460,32.337085305478816,119.83022890369155,43.821960475747886,6651.18631644385,-11200.899571180344,-56707.52099609375,-43.17237,-5383.168208719115,3906.3767678868026
461,32.337650433231715,119.82935827103303,52.32170311235632,6745.264777022926,-11378.616673231125,-57581.132568359375,-39.963806,-5461.219915533089,3958.999109160155
462,32.33819760220915,119.82851528704178,57.39099833920363,6840.330241594076,-11472.362240552902,-58440.695373535156,-41.241502,-5537.222769907792,4016.1277134176344
463,32.338753181041135,119.82765932794456,63.687948721011836,6935.7900089775785,-11597.441166639328,-59308.24737548828,-41.94624,-5613.250959620578,4073.8920841072686
464,32.33929100847057,119.82683069985667,66.4261328549986,7031.027161054545,-11924.089939832687,-60112.119079589844,-40.622708,-5691.350480531342,4128.42253739154
465,32.33980426348367,119.82603991394922,65.09152560800686,7125.878440713018,-12111.931813001633,-60900.94708251953,-40.840432,-5769.43238176778,4182.3191585564055
466,32.34033821894879,119.82521721727277,68.06198777578933,7220.563100171187,-12130.700066328049,-61752.5068359375,-41.092533,-5845.42438312876,4238.814134245273
467,32.340793835500016,119.82451520825549,55.928951028194106,7316.107247343261,-12288.27573466301,-62454.36706542969,-40.015372,-5922.498288211646,4295.281047936063
468,32.34137952652828,119.82361276333344,68.2929517988862,7410.783886471342,-12567.76743388176,-63343.14971923828,-40.18153,-5998.479136667564,4351.777321847621
469,32.34181389166538,119.8229434710026,52.023851633923776,7506.106147803396,-12776.027245283127,-64002.13067626953,-38.749136,-6077.623554495396,4405.010945722461
470,32.34234264555865,119.82212872407464,55.091597402282915,7600.237266354988,-12860.9506919384,-64833.81640625,-38.794972,-6151.506292591803,4463.471388627309
471,32.342884474392584,119.82129381255292,57.599196930564915,7696.025125271299,-13240.418373823166,-65634.90533447266,-38.886646,-6231.705587255885,4516.0434234593995
472,32.34333648546116,119.82059728878406,46.06126999218107,7791.308022761063,-12966.12729716301,-66406.59075927734,-40.284663,-6305.627437856281,4576.41162052704
473,32.34391476276231,119.8197061776701,56.286694161525865,7886.463141946773,-13200.42092204094,-67291.45281982422,-39.173124,-6382.679344221018,4632.246245412622
474,32.344502559075,119.81880037711763,69.21728385613564,7980.450097859429,-13440.551888227463,-68190.5433959961,-39.408037,-6459.670733404113,4686.175176028628
475,32.344962833624905,119.81809107430415,57.651025336900204,8076.070006596219,-13678.9907310009,-68885.76440429688,-38.754865,-6537.777476294548,4741.347110463306
476,32.345447042062084,119.81734487441372,50.77852122248421,8171.610642474558,-13791.755913496017,-69641.30181884766,-38.892375,-6614.843520205468,4797.81884770561
477,32.345922837033406,119.81661162636263,43.568317337213436,8265.597592643124,-14201.748131513596,-70331.36724853516,-39.09864,-6691.83237776591,4851.750507949851
478,32.34642133866466,119.8158433702614,40.05437950213717,8360.664276016418,-14052.06055521965,-71155.72552490234,-38.302229,-6767.830710971495,4908.887308126781
479,32.34703371234761,119.81489960173518,56.42319906981495,8455.809618546138,-14309.064003705978,-72091.25634765625,-38.720488,-6844.8680025052745,4964.725403622724
